location,county,species,weekStart,weekEnd,lat,lng
Lake Fulmor,Riverside,Trout,2024/10/13,2024/10/19,33.805213199823,-116.7795083
Trout Lake,Siskiyou,Trout,2024/10/13,2024/10/19,41.685722,-122.475973
Caribou Lake,Lassen,Trout,2024/10/13,2024/10/19,40.503088,-121.169745
"Salmon Lake, Upper",Sierra,Trout,2024/10/13,2024/10/19,39.657104,-120.652055
Trinity Lake (Clair Engle Lake),Trinity,Trout,2024/10/13,2024/10/19,40.838626,-122.781822
"Trinity River, above Clair Engle Lake",Trinity,Trout,2024/10/13,2024/10/19,41.1257400512695,-122.69898987
Burney Creek Lower,Shasta,Trout,2024/10/13,2024/10/19,41.0080795288086,-121.64898682
Coffee Creek,Trinity,Trout,2024/10/13,2024/10/19,41.0841445922852,-122.71015167
"Kern River, Section 4",Kern,Trout,2024/10/13,2024/10/19,35.7305030822754,-118.42365265
Diaz Lake,Inyo,Trout,2024/10/13,2024/10/19,36.562231,-118.054857
Little Grass Valley Reservoir,Plumas,Trout,2024/10/13,2024/10/19,39.729179,-120.9902
Big Bear Lake,San Bernardino,Trout,2024/10/20,2024/10/26,34.253115,-116.92764
Jackson Lake,Los Angeles,Trout,2024/10/20,2024/10/26,34.391877,-117.726094
Ralphine Lake,Sonoma,Trout,2024/10/20,2024/10/26,38.454904,-122.667101
San Pablo Reservoir,Contra Costa,Trout,2024/10/20,2024/10/26,37.9279,-122.242772
Tinnemaha Creek,Inyo,Trout,2024/10/20,2024/10/26,37.0497207641602,-118.27203369
Eagle Lake,Lassen,Trout,2024/10/20,2024/10/26,40.642878,-120.739584
"Russian River, Upper East Branch",Mendocino,Trout,2024/10/20,2024/10/26,39.248291,-123.122074
"Kern River, Section 4",Kern,Trout,2024/10/20,2024/10/26,35.7305030822754,-118.42365265
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/10/20,2024/10/26,36.7976875305176,-119.39915466
Deer Creek,Tehama,Trout,2024/10/20,2024/10/26,40.234245300293,-121.45935059
Shaver Lake,Fresno,Trout,2024/10/20,2024/10/26,37.125692,-119.290435
Pleasant Valley Reservoir,Inyo,Trout,2024/10/20,2024/10/26,37.42236,-118.536025
South Lake,Inyo,Trout,2024/10/20,2024/10/26,37.165414,-118.570347
Lyons Canal (Columbia Ditch),Tuolumne,Trout,2024/10/20,2024/10/26,38.0534973144531,-120.24224091
"Owens River, Section 2",Inyo,Trout,2024/10/20,2024/10/26,37.1855621337891,-118.26623535
Independence Creek,Inyo,Trout,2024/10/20,2024/10/26,36.8096580505371,-118.19972992
Powerhouse Stream,Tuolumne,Trout,2024/10/20,2024/10/26,38.0311470031738,-120.32733154
Silver Lake,Mono,Trout,2024/10/20,2024/10/26,37.77757,-119.125085
Convict Lake,Mono,Trout,2024/10/20,2024/10/26,37.589305,-118.858276
June Lake,Mono,Trout,2024/10/20,2024/10/26,37.78864,-119.07362
North Lake,Inyo,Trout,2024/10/20,2024/10/26,37.231483,-118.613827
Gregory Lake,San Bernardino,Trout,2024/10/20,2024/10/26,34.243097,-117.269046
"Twin Lakes, Mammoth",Mono,Trout,2024/10/20,2024/10/26,37.6181197170434,-119.00786488
"Feather River North Fork, Almanor",Plumas,Trout,2024/10/20,2024/10/26,40.3119354248047,-121.2390976
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/10/27,2024/11/02,36.7976875305176,-119.39915466
Eagle Lake,Lassen,Trout,2024/10/27,2024/11/02,40.642878,-120.739584
"Kern River, Section 4",Kern,Trout,2024/10/27,2024/11/02,35.7305030822754,-118.42365265
Mather Lake,Sacramento,Trout,2024/10/27,2024/11/02,38.556128,-121.253596
Yosemite Lake,Merced,Trout,2024/10/27,2024/11/02,37.377739,-120.430009
Granite Park Pond,Sacramento,Trout,2024/10/27,2024/11/02,38.543737,-121.40563
"Kern River, Section 5","Kern, Tulare",Trout,2024/10/27,2024/11/02,35.7961883544922,-118.45127869
Cuyamaca Lake,San Diego,Trout,2024/10/27,2024/11/02,32.99032,-116.569296
Diaz Lake,Inyo,Trout,2024/10/27,2024/11/02,36.562231,-118.054857
Apollo Community Regional Park Lake ,Los Angeles,Trout,2024/10/27,2024/11/02,34.741323,-118.200297
Woodward Reservoir,Stanislaus,Trout,2024/10/27,2024/11/02,37.838872,-120.850616
Hat Creek Middle,Shasta,Trout,2024/10/27,2024/11/02,40.9227409362793,-121.54640198
Casitas Lake,Ventura,Trout,2024/10/27,2024/11/02,34.378808,-119.344
Shadow Cliff Lake,Alameda,Trout,2024/10/27,2024/11/02,37.669744,-121.836473
Southside Park Pond,Sacramento,Trout,2024/10/27,2024/11/02,38.567586,-121.50294
Howe Community Park Lake,Sacramento,Trout,2024/10/27,2024/11/02,38.605747,-121.411883
"Owens River, below Tinnemaha",Inyo,Trout,2024/10/27,2024/11/02,37.0494766235352,-118.22177887
"Kern River, Section 6",Tulare,Trout,2024/10/27,2024/11/02,35.947021484375,-118.47764587
Bishop Creek Lower,Inyo,Trout,2024/10/27,2024/11/02,37.3688125610352,-118.40048218
Baum Lake,Shasta,Trout,2024/10/27,2024/11/02,40.938845,-121.544996
Blue Lake Upper,Lake,Trout,2024/10/27,2024/11/02,39.170685,-123.011522
Lake Hemet,Riverside,Trout,2024/10/27,2024/11/02,33.666115,-116.693046
Modesto Reservoir,Stanislaus,Trout,2024/10/27,2024/11/02,37.668132,-120.658927
"Russian River, Upper East Branch",Mendocino,Trout,2024/10/27,2024/11/02,39.248291,-123.122074
Lone Pine Creek,Inyo,Trout,2024/10/27,2024/11/02,36.5959739685059,-118.0977478
Elk Grove Park Pond,Sacramento,Trout,2024/10/27,2024/11/02,38.395032,-121.37572
Mooney Grove Park Pond,Tulare,Trout,2024/11/03,2024/11/09,36.2802909505087,-119.30894458
Los Banos Reservoir,Merced,Trout,2024/11/03,2024/11/09,36.984431,-120.948065
Rancho Simi Park Lake,Ventura,Trout,2024/11/03,2024/11/09,34.2665,-118.763836
Tulloch Lake,"Calaveras, Tuolumne",Trout,2024/11/03,2024/11/09,37.894523,-120.57181
Mojave Narrows Regional Park Lake,San Bernardino,Trout,2024/11/03,2024/11/09,34.51532,-117.278624
Carbon Canyon Reservoir,Orange,Trout,2024/11/03,2024/11/09,33.920218,-117.835353
Yucaipa Lake,San Bernardino,Trout,2024/11/03,2024/11/09,34.053384,-117.048524
"Kern River, Section 4",Kern,Trout,2024/11/03,2024/11/09,35.7305030822754,-118.42365265
Legg Lakes,Los Angeles,Trout,2024/11/03,2024/11/09,34.033043,-118.058651
Bon Tempe Lake,Marin,Trout,2024/11/03,2024/11/09,37.953636,-122.60603
Los Vaqueros Reservoir,Contra Costa,Trout,2024/11/03,2024/11/09,37.819878,-121.737875
Reseda Park Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.188596,-118.534234
MacArthur Park Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.058218,-118.27789
Laguna Lake,Orange,Trout,2024/11/03,2024/11/09,33.908319,-117.936168
Puddingstone Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.086974,-117.804408
"Kern River, Section 6",Tulare,Trout,2024/11/03,2024/11/09,35.947021484375,-118.47764587
Hansen Dam Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.2661,-118.392908
Sandywool Lake,Santa Clara,Trout,2024/11/03,2024/11/09,37.454999,-121.862382
Hollenbeck Park Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.039924,-118.218236
Belvedere Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.034691,-118.158507
Glen Helen Park Lake,San Bernardino,Trout,2024/11/03,2024/11/09,34.207904,-117.403907
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/11/03,2024/11/09,36.7976875305176,-119.39915466
El Dorado Park Lakes,Los Angeles,Trout,2024/11/03,2024/11/09,33.820542,-118.084551
Woodward Reservoir,Stanislaus,Trout,2024/11/03,2024/11/09,37.838872,-120.850616
Ralphine Lake,Sonoma,Trout,2024/11/03,2024/11/09,38.454904,-122.667101
Mile Square Park Lake,Orange,Trout,2024/11/03,2024/11/09,33.729213,-117.93928
Cucamonga Guasti Park Lake,San Bernardino,Trout,2024/11/03,2024/11/09,34.072562,-117.589729
Shasta Lake,Shasta,Trout,2024/11/03,2024/11/09,40.765934,-122.298688
Ralph Clark Regional Park Lake,Orange,Trout,2024/11/03,2024/11/09,33.893664,-117.978444
Alondra Park Lake,Los Angeles,Trout,2024/11/03,2024/11/09,33.882028,-118.334293
"Kern River, Section 5","Kern, Tulare",Trout,2024/11/03,2024/11/09,35.7961883544922,-118.45127869
Sycamore Island Pond,Madera,Trout,2024/11/03,2024/11/09,36.8516179857113,-119.82626269
Elizabeth Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.666157,-118.401881
Lincoln Park Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.06624,-118.202518
Prado Park Lake,San Bernardino,Trout,2024/11/03,2024/11/09,33.943239,-117.646789
Santa Fe Reservoir,Los Angeles,Trout,2024/11/03,2024/11/09,34.112907,-117.950271
Eisenhower Park Lake,Orange,Trout,2024/11/03,2024/11/09,33.835836,-117.838413
Rancho Jurupa Park Pond,Riverside,Trout,2024/11/03,2024/11/09,33.981496,-117.419267
Carr Park Lake,Orange,Trout,2024/11/03,2024/11/09,33.721744,-118.023462
Kenneth Hahn Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.009354,-118.370514
Echo Park Lake,Los Angeles,Trout,2024/11/03,2024/11/09,34.073182,-118.260457
Huntington Park Lake,Orange,Trout,2024/11/03,2024/11/09,33.698396,-118.011161
Cerritos Lake,Los Angeles,Trout,2024/11/03,2024/11/09,33.85159,-118.060307
La Mirada Lake,Los Angeles,Trout,2024/11/03,2024/11/09,33.90373,-118.00657
Tri-city Lake,Orange,Trout,2024/11/03,2024/11/09,33.904077,-117.866089
Lake Almanor,Plumas,Trout,2024/11/03,2024/11/09,40.228988,-121.154457
Yorba Linda Regional Park Lake,Orange,Trout,2024/11/03,2024/11/09,33.869442,-117.764807
Greer Park Lake,Orange,Trout,2024/11/03,2024/11/09,33.736703,-118.00857
Downey Wilderness Park Lake,Los Angeles,Trout,2024/11/03,2024/11/09,33.9359,-118.101231
Seccombe Park Lake,San Bernardino,Trout,2024/11/03,2024/11/09,34.109481,-117.281879
Lake Almanor,Plumas,Trout,2024/11/10,2024/11/16,40.228988,-121.154457
Eastman Lake,"Madera, Mariposa",Trout,2024/11/10,2024/11/16,37.230693,-119.972466
Lake Del Valle,Alameda,Trout,2024/11/10,2024/11/16,37.581651,-121.69916
Little Lake,Riverside,Trout,2024/11/10,2024/11/16,33.727819,-116.917195
Oak Grove Park Lake,San Joaquin,Trout,2024/11/10,2024/11/16,38.054507,-121.367192
Shasta Lake,Shasta,Trout,2024/11/10,2024/11/16,40.765934,-122.298688
Contra Loma Reservoir,Contra Costa,Trout,2024/11/10,2024/11/16,37.974436,-121.825589
Lafayette Reservoir,Contra Costa,Trout,2024/11/10,2024/11/16,37.881287,-122.142019
McClure Reservoir,Mariposa,Trout,2024/11/10,2024/11/16,37.67383,-120.230869
Cucamonga Guasti Park Lake,San Bernardino,Trout,2024/11/10,2024/11/16,34.072562,-117.589729
Shaver Lake,Fresno,Trout,2024/11/10,2024/11/16,37.125692,-119.290435
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/11/10,2024/11/16,36.7976875305176,-119.39915466
Hensley Lake,Madera,Trout,2024/11/10,2024/11/16,37.124381,-119.877265
Rancho Seco Lake,Sacramento,Trout,2024/11/10,2024/11/16,38.337526,-121.095012
Baum Lake,Shasta,Trout,2024/11/10,2024/11/16,40.938845,-121.544996
"Kern River, Section 4",Kern,Trout,2024/11/10,2024/11/16,35.7305030822754,-118.42365265
New Melones Reservoir,"Calaveras, Tuolumne",Trout,2024/11/10,2024/11/16,37.993697,-120.506625
Gregory Lake,San Bernardino,Trout,2024/11/10,2024/11/16,34.243097,-117.269046
Hagan Park Pond,Sacramento,Trout,2024/11/10,2024/11/16,38.605187,-121.308773
Fresno City Woodward Park Lake,Fresno,Trout,2024/11/10,2024/11/16,36.863692,-119.783463
Horseshoe Lake,Alameda,Trout,2024/11/10,2024/11/16,37.572952,-122.00143
Don Pedro Reservoir,Tuolumne,Trout,2024/11/10,2024/11/16,37.734739,-120.382143
Greenhorn Reservoir,Siskiyou,Trout,2024/11/10,2024/11/16,41.711407,-122.653097
Siskiyou Lake,Siskiyou,Trout,2024/11/10,2024/11/16,41.282998,-122.340186
Don Pedro Reservoir,Tuolumne,Trout,2024/11/17,2024/11/23,37.734739,-120.382143
Lake Berryessa,Napa,Trout,2024/11/17,2024/11/23,38.589974,-122.230433
Sandywool Lake,Santa Clara,Trout,2024/11/17,2024/11/23,37.454999,-121.862382
Reyes Creek,Ventura,Trout,2024/11/17,2024/11/23,34.6810531616211,-119.30931854
"Kern River, Section 4",Kern,Trout,2024/11/17,2024/11/23,35.7305030822754,-118.42365265
Shadow Cliff Lake,Alameda,Trout,2024/11/17,2024/11/23,37.669744,-121.836473
Jackson Lake,Los Angeles,Trout,2024/11/17,2024/11/23,34.391877,-117.726094
Brite Valley Reservoir,Kern,Trout,2024/11/17,2024/11/23,35.106934,-118.542432
New Melones Reservoir,"Calaveras, Tuolumne",Trout,2024/11/17,2024/11/23,37.993697,-120.506625
Doane Pond,San Diego,Trout,2024/11/17,2024/11/23,33.340149,-116.901329
Los Banos Reservoir,Merced,Trout,2024/11/17,2024/11/23,36.984431,-120.948065
Rancho Jurupa Park Pond,Riverside,Trout,2024/11/17,2024/11/23,33.981496,-117.419267
Mojave Narrows Regional Park Lake,San Bernardino,Trout,2024/11/17,2024/11/23,34.51532,-117.278624
Crystal Lake,Los Angeles,Trout,2024/11/17,2024/11/23,34.318786,-117.847032
Kaweah Reservoir,Tulare,Trout,2024/11/17,2024/11/23,36.40541,-118.973392
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/11/17,2024/11/23,36.7976875305176,-119.39915466
River Walk Lake,Kern,Trout,2024/11/17,2024/11/23,35.351532,-119.126559
Glen Helen Park Lake,San Bernardino,Trout,2024/11/17,2024/11/23,34.207904,-117.403907
Bass Lake,Madera,Trout,2024/11/17,2024/11/23,37.311877,-119.551095
Los Vaqueros Reservoir,Contra Costa,Trout,2024/11/17,2024/11/23,37.819878,-121.737875
Lake Chabot,Solano,Trout,2024/11/17,2024/11/23,38.136611,-122.235139
Stumpy Meadows Reservoir,El Dorado,Trout,2024/11/17,2024/11/23,38.899336,-120.59211
Shasta Lake,Shasta,Trout,2024/11/17,2024/11/23,40.765934,-122.298688
Prado Park Lake,San Bernardino,Trout,2024/11/17,2024/11/23,33.943239,-117.646789
Baum Lake,Shasta,Trout,2024/11/17,2024/11/23,40.938845,-121.544996
Avocado Lake,Fresno,Trout,2024/11/17,2024/11/23,36.787045,-119.412218
Seccombe Park Lake,San Bernardino,Trout,2024/11/17,2024/11/23,34.109481,-117.281879
Yucaipa Lake,San Bernardino,Trout,2024/11/17,2024/11/23,34.053384,-117.048524
Lake Del Valle,Alameda,Trout,2024/11/17,2024/11/23,37.581651,-121.69916
Bon Tempe Lake,Marin,Trout,2024/11/17,2024/11/23,37.953636,-122.60603
Blue Lake Upper,Lake,Trout,2024/11/24,2024/11/30,39.170685,-123.011522
Shadow Cliff Lake,Alameda,Trout,2024/11/24,2024/11/30,37.669744,-121.836473
Folsom Lake,"El Dorado, Placer, Sacramento",Trout,2024/11/24,2024/11/30,38.745485,-121.119806
Casitas Lake,Ventura,Trout,2024/11/24,2024/11/30,34.378808,-119.344
Puddingstone Lake,Los Angeles,Trout,2024/11/24,2024/11/30,34.086974,-117.804408
Fresno City Woodward Park Lake,Fresno,Trout,2024/11/24,2024/11/30,36.863692,-119.783463
"Kern River, Section 5","Kern, Tulare",Trout,2024/11/24,2024/11/30,35.7961883544922,-118.45127869
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/11/24,2024/11/30,36.7976875305176,-119.39915466
Hidden Valley Pond,Contra Costa,Trout,2024/11/24,2024/11/30,37.982778,-122.090556
Lake Almanor,Plumas,Trout,2024/11/24,2024/11/30,40.228988,-121.154457
Bass Lake,Madera,Trout,2024/11/24,2024/11/30,37.311877,-119.551095
Ralphine Lake,Sonoma,Trout,2024/11/24,2024/11/30,38.454904,-122.667101
Baum Lake,Shasta,Trout,2024/11/24,2024/11/30,40.938845,-121.544996
Lake Berryessa,Napa,Trout,2024/11/24,2024/11/30,38.589974,-122.230433
Shasta Lake,Shasta,Trout,2024/11/24,2024/11/30,40.765934,-122.298688
Skinner Lake,Riverside,Trout,2024/11/24,2024/11/30,33.588275,-117.056638
Avocado Lake,Fresno,Trout,2024/12/01,2024/12/07,36.787045,-119.412218
Trout Lake,Siskiyou,Trout,2024/12/01,2024/12/07,41.685722,-122.475973
Downey Wilderness Park Lake,Los Angeles,Trout,2024/12/01,2024/12/07,33.9359,-118.101231
Hansen Dam Lake,Los Angeles,Trout,2024/12/01,2024/12/07,34.2661,-118.392908
Legg Lakes,Los Angeles,Trout,2024/12/01,2024/12/07,34.033043,-118.058651
Alondra Park Lake,Los Angeles,Trout,2024/12/01,2024/12/07,33.882028,-118.334293
Lafayette Reservoir,Contra Costa,Trout,2024/12/01,2024/12/07,37.881287,-122.142019
Lincoln Park Lake,Los Angeles,Trout,2024/12/01,2024/12/07,34.06624,-118.202518
Cerritos Lake,Los Angeles,Trout,2024/12/01,2024/12/07,33.85159,-118.060307
Huntington Park Lake,Orange,Trout,2024/12/01,2024/12/07,33.698396,-118.011161
Belvedere Lake,Los Angeles,Trout,2024/12/01,2024/12/07,34.034691,-118.158507
Hollenbeck Park Lake,Los Angeles,Trout,2024/12/01,2024/12/07,34.039924,-118.218236
Shasta Lake,Shasta,Trout,2024/12/01,2024/12/07,40.765934,-122.298688
Elizabeth Lake,Los Angeles,Trout,2024/12/01,2024/12/07,34.666157,-118.401881
Lake Jennings,San Diego,Trout,2024/12/01,2024/12/07,32.857689,-116.887852
Bogart Park Pond,Riverside,Trout,2024/12/01,2024/12/07,33.9814076578515,-116.9535323
Carr Park Lake,Orange,Trout,2024/12/01,2024/12/07,33.721744,-118.023462
Echo Park Lake,Los Angeles,Trout,2024/12/01,2024/12/07,34.073182,-118.260457
Apollo Community Regional Park Lake ,Los Angeles,Trout,2024/12/01,2024/12/07,34.741323,-118.200297
Ford Park Ponds,San Bernardino,Trout,2024/12/01,2024/12/07,34.043882,-117.162087
Evans Lake,Riverside,Trout,2024/12/01,2024/12/07,33.995998,-117.379907
Little Lake,Riverside,Trout,2024/12/01,2024/12/07,33.727819,-116.917195
El Dorado Park Lakes,Los Angeles,Trout,2024/12/01,2024/12/07,33.820542,-118.084551
Carbon Canyon Reservoir,Orange,Trout,2024/12/01,2024/12/07,33.920218,-117.835353
"Kern River, Section 4",Kern,Trout,2024/12/01,2024/12/07,35.7305030822754,-118.42365265
Greer Park Lake,Orange,Trout,2024/12/01,2024/12/07,33.736703,-118.00857
Tri-city Lake,Orange,Trout,2024/12/01,2024/12/07,33.904077,-117.866089
Seccombe Park Lake,San Bernardino,Trout,2024/12/01,2024/12/07,34.109481,-117.281879
IWA Wister Pond,Imperial,Trout,2024/12/01,2024/12/07,33.274405,-115.589939
Chollas Park Lake,San Diego,Trout,2024/12/01,2024/12/07,32.736949,-117.062971
Santa Fe Reservoir,Los Angeles,Trout,2024/12/01,2024/12/07,34.112907,-117.950271
"Kern River, Section 5","Kern, Tulare",Trout,2024/12/01,2024/12/07,35.7961883544922,-118.45127869
Sandywool Lake,Santa Clara,Trout,2024/12/01,2024/12/07,37.454999,-121.862382
Glen Helen Park Lake,San Bernardino,Trout,2024/12/01,2024/12/07,34.207904,-117.403907
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/12/01,2024/12/07,36.7976875305176,-119.39915466
Sunbeam Lake,Imperial,Trout,2024/12/01,2024/12/07,32.779564,-115.679917
Lake Miramar,San Diego,Trout,2024/12/01,2024/12/07,32.916167,-117.098571
Rancho Simi Park Lake,Ventura,Trout,2024/12/01,2024/12/07,34.2665,-118.763836
Prado Park Lake,San Bernardino,Trout,2024/12/01,2024/12/07,33.943239,-117.646789
Reseda Park Lake,Los Angeles,Trout,2024/12/01,2024/12/07,34.188596,-118.534234
Ralph Clark Regional Park Lake,Orange,Trout,2024/12/01,2024/12/07,33.893664,-117.978444
Mile Square Park Lake,Orange,Trout,2024/12/01,2024/12/07,33.729213,-117.93928
"Kern River, Section 6",Tulare,Trout,2024/12/01,2024/12/07,35.947021484375,-118.47764587
Bon Tempe Lake,Marin,Trout,2024/12/01,2024/12/07,37.953636,-122.60603
Cucamonga Guasti Park Lake,San Bernardino,Trout,2024/12/01,2024/12/07,34.072562,-117.589729
Lake Wohlford,San Diego,Trout,2024/12/01,2024/12/07,33.173441,-116.992679
Lake Chabot,Solano,Trout,2024/12/01,2024/12/07,38.136611,-122.235139
Cahuilla Park Lake,Riverside,Trout,2024/12/01,2024/12/07,33.632417,-116.273937
Yorba Linda Regional Park Lake,Orange,Trout,2024/12/01,2024/12/07,33.869442,-117.764807
Mojave Narrows Regional Park Lake,San Bernardino,Trout,2024/12/01,2024/12/07,34.51532,-117.278624
Eisenhower Park Lake,Orange,Trout,2024/12/01,2024/12/07,33.835836,-117.838413
La Mirada Lake,Los Angeles,Trout,2024/12/01,2024/12/07,33.90373,-118.00657
Baum Lake,Shasta,Trout,2024/12/01,2024/12/07,40.938845,-121.544996
Kenneth Hahn Lake,Los Angeles,Trout,2024/12/01,2024/12/07,34.009354,-118.370514
Del Lago Park Lake,Tulare,Trout,2024/12/01,2024/12/07,36.228637,-119.321163
Fresno City Woodward Park Lake,Fresno,Trout,2024/12/01,2024/12/07,36.863692,-119.783463
Lake Murray,San Diego,Trout,2024/12/01,2024/12/07,32.786784,-117.042955
Yucaipa Lake,San Bernardino,Trout,2024/12/01,2024/12/07,34.053384,-117.048524
Rancho Jurupa Park Pond,Riverside,Trout,2024/12/01,2024/12/07,33.981496,-117.419267
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/12/08,2024/12/14,36.7976875305176,-119.39915466
Casitas Lake,Ventura,Trout,2024/12/08,2024/12/14,34.378808,-119.344
Baum Lake,Shasta,Trout,2024/12/08,2024/12/14,40.938845,-121.544996
Lafayette Reservoir,Contra Costa,Trout,2024/12/08,2024/12/14,37.881287,-122.142019
Santa Margarita Lake,San Luis Obispo,Trout,2024/12/08,2024/12/14,35.328558,-120.47501
Shasta Lake,Shasta,Trout,2024/12/08,2024/12/14,40.765934,-122.298688
Success Reservoir,Tulare,Trout,2024/12/08,2024/12/14,36.083355,-118.913546
Trout Lake,Siskiyou,Trout,2024/12/08,2024/12/14,41.685722,-122.475973
Atascadero Lake,San Luis Obispo,Trout,2024/12/08,2024/12/14,35.46426,-120.666457
Temescal Lake,Alameda,Trout,2024/12/08,2024/12/14,37.846412,-122.230369
Bon Tempe Lake,Marin,Trout,2024/12/08,2024/12/14,37.953636,-122.60603
Kaweah Reservoir,Tulare,Trout,2024/12/08,2024/12/14,36.40541,-118.973392
Contra Loma Reservoir,Contra Costa,Trout,2024/12/08,2024/12/14,37.974436,-121.825589
Del Lago Park Lake,Tulare,Trout,2024/12/08,2024/12/14,36.228637,-119.321163
Barney Schwartz Park Lake,San Luis Obispo,Trout,2024/12/08,2024/12/14,35.637244,-120.64599
Ming Lake,Kern,Trout,2024/12/08,2024/12/14,35.439631,-118.86563
River Walk Lake,Kern,Trout,2024/12/08,2024/12/14,35.351532,-119.126559
Murry Park Pond,Tulare,Trout,2024/12/08,2024/12/14,36.068868,-119.003408
Horseshoe Lake,Alameda,Trout,2024/12/08,2024/12/14,37.572952,-122.00143
Fresno City Woodward Park Lake,Fresno,Trout,2024/12/08,2024/12/14,36.863692,-119.783463
Avocado Lake,Fresno,Trout,2024/12/08,2024/12/14,36.787045,-119.412218
Lake Almanor,Plumas,Trout,2024/12/08,2024/12/14,40.228988,-121.154457
Mooney Grove Park Pond,Tulare,Trout,2024/12/08,2024/12/14,36.2802909505087,-119.30894458
Blue Lake Upper,Lake,Trout,2024/12/08,2024/12/14,39.170685,-123.011522
Lake San Antonio,Monterey,Trout,2024/12/08,2024/12/14,35.8454426258299,-120.97478912
Lake Wohlford,San Diego,Trout,2024/12/15,2024/12/21,33.173441,-116.992679
Eisenhower Park Lake,Orange,Trout,2024/12/15,2024/12/21,33.835836,-117.838413
Cahuilla Park Lake,Riverside,Trout,2024/12/15,2024/12/21,33.632417,-116.273937
Rancho Jurupa Park Pond,Riverside,Trout,2024/12/15,2024/12/21,33.981496,-117.419267
Mile Square Park Lake,Orange,Trout,2024/12/15,2024/12/21,33.729213,-117.93928
Mojave Narrows Regional Park Lake,San Bernardino,Trout,2024/12/15,2024/12/21,34.51532,-117.278624
Rancho Simi Park Lake,Ventura,Trout,2024/12/15,2024/12/21,34.2665,-118.763836
Pine Flat Reservoir,Fresno,Trout,2024/12/15,2024/12/21,36.856357,-119.282763
Glen Helen Park Lake,San Bernardino,Trout,2024/12/15,2024/12/21,34.207904,-117.403907
Ford Park Ponds,San Bernardino,Trout,2024/12/15,2024/12/21,34.043882,-117.162087
Belvedere Lake,Los Angeles,Trout,2024/12/15,2024/12/21,34.034691,-118.158507
Corrine Lake,Madera,Trout,2024/12/15,2024/12/21,37.159408,-119.49595
Los Vaqueros Reservoir,Contra Costa,Trout,2024/12/15,2024/12/21,37.819878,-121.737875
Baum Lake,Shasta,Trout,2024/12/15,2024/12/21,40.938845,-121.544996
"Kern River, Section 6",Tulare,Trout,2024/12/15,2024/12/21,35.947021484375,-118.47764587
Carbon Canyon Reservoir,Orange,Trout,2024/12/15,2024/12/21,33.920218,-117.835353
Hidden Valley Pond,Contra Costa,Trout,2024/12/15,2024/12/21,37.982778,-122.090556
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/12/15,2024/12/21,36.7976875305176,-119.39915466
Sunbeam Lake,Imperial,Trout,2024/12/15,2024/12/21,32.779564,-115.679917
Echo Park Lake,Los Angeles,Trout,2024/12/15,2024/12/21,34.073182,-118.260457
Prado Park Lake,San Bernardino,Trout,2024/12/15,2024/12/21,33.943239,-117.646789
Sandywool Lake,Santa Clara,Trout,2024/12/15,2024/12/21,37.454999,-121.862382
Cucamonga Guasti Park Lake,San Bernardino,Trout,2024/12/15,2024/12/21,34.072562,-117.589729
Shasta Lake,Shasta,Trout,2024/12/15,2024/12/21,40.765934,-122.298688
Hagan Park Pond,Sacramento,Trout,2024/12/15,2024/12/21,38.605187,-121.308773
Chollas Park Lake,San Diego,Trout,2024/12/15,2024/12/21,32.736949,-117.062971
Lakeshore Park Pond,Alameda,Trout,2024/12/15,2024/12/21,37.552217,-122.035878
Hansen Dam Lake,Los Angeles,Trout,2024/12/15,2024/12/21,34.2661,-118.392908
Kenneth Hahn Lake,Los Angeles,Trout,2024/12/15,2024/12/21,34.009354,-118.370514
Cerritos Lake,Los Angeles,Trout,2024/12/15,2024/12/21,33.85159,-118.060307
Carr Park Lake,Orange,Trout,2024/12/15,2024/12/21,33.721744,-118.023462
Lincoln Park Lake,Los Angeles,Trout,2024/12/15,2024/12/21,34.06624,-118.202518
IWA Wister Pond,Imperial,Trout,2024/12/15,2024/12/21,33.274405,-115.589939
Reyes Creek,Ventura,Trout,2024/12/15,2024/12/21,34.6810531616211,-119.30931854
Lake Jennings,San Diego,Trout,2024/12/15,2024/12/21,32.857689,-116.887852
"Kern River, Section 5","Kern, Tulare",Trout,2024/12/15,2024/12/21,35.7961883544922,-118.45127869
Seccombe Park Lake,San Bernardino,Trout,2024/12/15,2024/12/21,34.109481,-117.281879
Manzanita Lake,Madera,Trout,2024/12/15,2024/12/21,37.24543,-119.517409
